message_id,consult_order_id,sender_id,sender_role,recipient_provider_id,message_sent_timestamp,message_read_timestamp,channel,message_outcome
MSG-0000014,CONS-0000006,RN-00180,Registered Nurse,DOC-0081,2024-11-17 19:34:28,2024-11-17 19:42:40,Secure App Chat,Read & Acknowledged
MSG-0000015,CONS-0000006,RN-00180,Registered Nurse,DOC-0081,2024-11-17 20:31:28,2024-11-17 20:39:53,Secure App Chat,Read & Acknowledged
MSG-0000016,CONS-0000006,RN-00180,Registered Nurse,DOC-0081,2024-11-17 21:08:28,2024-11-17 21:16:10,Secure App Chat,Read & Acknowledged
MSG-0000017,CONS-0000007,RN-00286,Registered Nurse,DOC-0071,2025-06-23 00:04:39,2025-06-23 00:10:29,Secure App Chat,Read & Acknowledged
MSG-0000018,CONS-0000008,RN-00026,Registered Nurse,DOC-0008,2025-06-27 07:44:32,2025-06-27 08:07:20,Legacy Pager,Answered Live
MSG-0000019,CONS-0000008,RN-00026,Registered Nurse,DOC-0008,2025-06-27 08:12:32,2025-06-27 08:23:09,Secure App Chat,Read - No Response
MSG-0000020,CONS-0000008,RN-00026,Registered Nurse,DOC-0008,2025-06-27 08:43:32,2025-06-27 08:51:53,Secure App Chat,Read - No Response
MSG-0000021,CONS-0000009,RN-00152,Registered Nurse,DOC-0020,2025-06-23 22:31:36,2025-06-23 22:51:54,Secure App Chat,Read & Acknowledged
MSG-0000022,CONS-0000009,RN-00152,Registered Nurse,DOC-0020,2025-06-23 23:18:36,2025-06-23 23:45:36,Legacy Pager,Read & Acknowledged
MSG-0000023,CONS-0000009,RN-00152,Registered Nurse,DOC-0020,2025-06-23 23:41:36,2025-06-23 23:51:07,Legacy Pager,Read & Acknowledged
MSG-0000024,CONS-0000009,RN-00152,Registered Nurse,DOC-0020,2025-06-24 00:11:36,2025-06-24 00:18:22,Secure App Chat,Read - No Response
MSG-0000025,CONS-0000009,RN-00152,Registered Nurse,DOC-0020,2025-06-24 00:52:36,2025-06-24 00:55:53,Vocera Badge Call,Answered Live
MSG-0000026,CONS-0000009,RN-00152,Registered Nurse,DOC-0020,2025-06-24 01:42:36,2025-06-24 01:56:00,Secure App Chat,Read & Acknowledged
MSG-0000027,CONS-0000010,RN-00138,Registered Nurse,DOC-0047,2025-01-14 01:29:31,2025-01-14 01:38:31,Secure App Chat,Read - No Response
MSG-0000028,CONS-0000010,RN-00138,Registered Nurse,DOC-0047,2025-01-14 02:20:31,,Phone Call to Office,Unread
MSG-0000029,CONS-0000011,RN-00271,Registered Nurse,DOC-0007,2025-01-14 05:22:57,2025-01-14 05:40:05,Legacy Pager,Read - No Response
MSG-0000030,CONS-0000011,RN-00271,Registered Nurse,DOC-0007,2025-01-14 06:21:57,2025-01-14 07:12:48,Phone Call to Office,Left Voicemail
MSG-0000031,CONS-0000012,RN-00125,Registered Nurse,DOC-0079,2025-01-14 20:12:14,2025-01-14 20:18:27,Secure App Chat,Read & Acknowledged
MSG-0000032,CONS-0000013,RN-00006,Registered Nurse,DOC-0025,2025-01-18 00:41:35,2025-01-18 00:45:29,Vocera Badge Call,Read & Acknowledged
MSG-0000033,CONS-0000013,RN-00006,Registered Nurse,DOC-0025,2025-01-18 01:20:35,2025-01-18 01:30:30,Secure App Chat,Read & Acknowledged
MSG-0000034,CONS-0000014,RN-00167,Registered Nurse,DOC-0042,2025-01-13 22:06:57,2025-01-13 22:40:23,Phone Call to Office,Answered Live
MSG-0000035,CONS-0000014,RN-00167,Registered Nurse,DOC-0042,2025-01-13 22:41:57,2025-01-13 22:48:59,Secure App Chat,Read & Acknowledged
MSG-0000036,CONS-0000014,RN-00167,Registered Nurse,DOC-0042,2025-01-13 23:15:57,2025-01-13 23:23:24,Secure App Chat,Answered Live
MSG-0000037,CONS-0000014,RN-00167,Registered Nurse,DOC-0042,2025-01-14 00:12:57,2025-01-14 00:24:04,Secure App Chat,Read - No Response
MSG-0000038,CONS-0000015,RN-00102,Registered Nurse,DOC-0063,2025-01-13 02:19:52,2025-01-13 02:53:53,Phone Call to Office,Left Voicemail
MSG-0000039,CONS-0000016,RN-00259,Registered Nurse,DOC-0079,2024-07-31 00:28:40,,Vocera Badge Call,Unread
MSG-0000040,CONS-0000016,RN-00259,Registered Nurse,DOC-0079,2024-07-31 01:22:40,2024-07-31 01:25:05,Vocera Badge Call,Answered Live
MSG-0000041,CONS-0000016,RN-00259,Registered Nurse,DOC-0079,2024-07-31 01:59:40,2024-07-31 02:08:14,Secure App Chat,Read & Acknowledged
MSG-0000042,CONS-0000017,RN-00172,Registered Nurse,DOC-0009,2024-07-30 14:58:07,2024-07-30 15:27:12,Phone Call to Office,Answered Live
MSG-0000043,CONS-0000017,RN-00172,Registered Nurse,DOC-0009,2024-07-30 15:58:07,2024-07-30 16:40:47,Legacy Pager,Read & Acknowledged
MSG-0000044,CONS-0000017,RN-00172,Registered Nurse,DOC-0009,2024-07-30 16:38:07,2024-07-30 16:41:50,Vocera Badge Call,Answered Live
MSG-0000045,CONS-0000017,RN-00172,Registered Nurse,DOC-0009,2024-07-30 17:33:07,2024-07-30 18:06:44,Phone Call to Office,Left Voicemail
MSG-0000046,CONS-0000018,RN-00124,Registered Nurse,DOC-0034,2024-08-02 14:44:27,2024-08-02 14:51:33,Secure App Chat,Read - No Response
MSG-0000047,CONS-0000018,RN-00124,Registered Nurse,DOC-0034,2024-08-02 15:15:27,,Phone Call to Office,Unread
MSG-0000048,CONS-0000018,RN-00124,Registered Nurse,DOC-0034,2024-08-02 15:53:27,,Legacy Pager,Unread
MSG-0000049,CONS-0000019,RN-00136,Registered Nurse,DOC-0032,2024-07-31 21:51:36,,Legacy Pager,Unread
MSG-0000050,CONS-0000019,RN-00136,Registered Nurse,DOC-0032,2024-07-31 22:19:36,2024-07-31 23:04:35,Legacy Pager,Read & Acknowledged
MSG-0000051,CONS-0000019,RN-00136,Registered Nurse,DOC-0032,2024-07-31 22:52:36,2024-07-31 23:00:38,Secure App Chat,Answered Live
MSG-0000052,CONS-0000019,RN-00136,Registered Nurse,DOC-0032,2024-07-31 23:36:36,2024-07-31 23:37:06,Vocera Badge Call,Answered Live
MSG-0000053,CONS-0000019,RN-00136,Registered Nurse,DOC-0032,2024-08-01 00:20:36,2024-08-01 00:23:12,Vocera Badge Call,Read & Acknowledged
MSG-0000054,CONS-0000020,RN-00087,Registered Nurse,DOC-0035,2024-07-28 09:24:27,2024-07-28 09:31:42,Secure App Chat,Read - No Response
MSG-0000055,CONS-0000020,RN-00087,Registered Nurse,DOC-0035,2024-07-28 10:13:27,2024-07-28 10:16:05,Legacy Pager,Read & Acknowledged
MSG-0000056,CONS-0000021,RN-00270,Registered Nurse,DOC-0094,2024-07-31 06:03:26,2024-07-31 06:30:38,Legacy Pager,Read - No Response
MSG-0000057,CONS-0000022,RN-00111,Unit Clerk,DOC-0076,2025-03-03 13:34:18,,Legacy Pager,Unread
MSG-0000058,CONS-0000023,RN-00243,Registered Nurse,DOC-0055,2025-03-03 14:41:53,2025-03-03 14:44:38,Vocera Badge Call,Answered Live
MSG-0000059,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 00:19:05,2025-03-04 01:11:20,Legacy Pager,Read & Acknowledged
MSG-0000060,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 01:00:05,2025-03-04 01:49:13,Legacy Pager,Read & Acknowledged
MSG-0000061,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 01:22:05,2025-03-04 01:30:30,Secure App Chat,Read & Acknowledged
MSG-0000062,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 02:01:05,2025-03-04 02:15:08,Secure App Chat,Answered Live
MSG-0000063,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 02:43:05,2025-03-04 02:49:05,Secure App Chat,Read & Acknowledged
MSG-0000064,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 03:33:05,2025-03-04 03:33:35,Vocera Badge Call,Answered Live
MSG-0000065,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 04:19:05,2025-03-04 04:23:08,Vocera Badge Call,Read & Acknowledged
MSG-0000066,CONS-0000024,RN-00293,Unit Clerk,DOC-0063,2025-03-04 05:11:05,2025-03-04 05:20:53,Secure App Chat,Answered Live
MSG-0000067,CONS-0000025,RN-00181,Registered Nurse,DOC-0090,2025-03-03 21:09:51,2025-03-03 21:13:34,Secure App Chat,Read - No Response
MSG-0000068,CONS-0000026,RN-00011,Unit Clerk,DOC-0010,2025-03-03 16:18:46,2025-03-03 16:26:03,Legacy Pager,Read - No Response
MSG-0000069,CONS-0000026,RN-00011,Unit Clerk,DOC-0010,2025-03-03 17:02:46,2025-03-03 17:13:33,Secure App Chat,Read & Acknowledged
MSG-0000070,CONS-0000026,RN-00011,Unit Clerk,DOC-0010,2025-03-03 17:42:46,2025-03-03 18:03:02,Legacy Pager,Read & Acknowledged
MSG-0000071,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 15:12:26,,Legacy Pager,Unread
MSG-0000072,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 15:45:26,2025-03-03 15:50:10,Vocera Badge Call,Answered Live
MSG-0000073,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 16:45:26,2025-03-03 17:01:39,Legacy Pager,Read & Acknowledged
MSG-0000074,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 17:20:26,2025-03-03 17:37:20,Phone Call to Office,Read & Acknowledged
MSG-0000075,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 17:50:26,2025-03-03 18:28:29,Legacy Pager,Read & Acknowledged
MSG-0000076,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 18:50:26,2025-03-03 18:57:48,Secure App Chat,Answered Live
MSG-0000077,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 19:45:26,2025-03-03 19:45:56,Legacy Pager,Read - No Response
MSG-0000078,CONS-0000027,RN-00066,Registered Nurse,DOC-0049,2025-03-03 20:33:26,2025-03-03 21:20:52,Phone Call to Office,Read - No Response
MSG-0000079,CONS-0000028,RN-00199,Registered Nurse,DOC-0024,2025-03-03 10:21:47,2025-03-03 11:07:36,Phone Call to Office,Left Voicemail
MSG-0000080,CONS-0000028,RN-00199,Registered Nurse,DOC-0024,2025-03-03 10:52:47,2025-03-03 10:53:51,Vocera Badge Call,Read - No Response
MSG-0000081,CONS-0000028,RN-00199,Registered Nurse,DOC-0024,2025-03-03 11:43:47,2025-03-03 12:22:18,Legacy Pager,Read & Acknowledged
MSG-0000082,CONS-0000029,RN-00067,Registered Nurse,DOC-0061,2025-03-04 00:44:26,2025-03-04 00:44:56,Vocera Badge Call,Read & Acknowledged
MSG-0000083,CONS-0000029,RN-00067,Registered Nurse,DOC-0061,2025-03-04 01:26:26,2025-03-04 01:59:07,Legacy Pager,Read - No Response
MSG-0000084,CONS-0000029,RN-00067,Registered Nurse,DOC-0061,2025-03-04 01:41:26,2025-03-04 01:44:28,Vocera Badge Call,Answered Live
MSG-0000085,CONS-0000029,RN-00067,Registered Nurse,DOC-0061,2025-03-04 02:35:26,2025-03-04 03:10:07,Legacy Pager,Read - No Response
MSG-0000086,CONS-0000030,RN-00009,Registered Nurse,DOC-0031,2024-07-26 21:38:46,2024-07-26 22:15:03,Legacy Pager,Read & Acknowledged
MSG-0000087,CONS-0000030,RN-00009,Registered Nurse,DOC-0031,2024-07-26 22:19:46,2024-07-26 22:27:59,Secure App Chat,Read & Acknowledged
MSG-0000088,CONS-0000030,RN-00009,Registered Nurse,DOC-0031,2024-07-26 22:37:46,2024-07-26 22:46:29,Secure App Chat,Answered Live
MSG-0000089,CONS-0000030,RN-00009,Registered Nurse,DOC-0031,2024-07-26 23:30:46,,Secure App Chat,Unread
MSG-0000090,CONS-0000031,RN-00290,Registered Nurse,DOC-0002,2024-07-27 08:29:20,2024-07-27 08:30:04,Vocera Badge Call,Answered Live
MSG-0000091,CONS-0000032,RN-00162,Registered Nurse,DOC-0091,2024-07-26 21:17:29,2024-07-26 21:39:06,Legacy Pager,Read & Acknowledged
MSG-0000092,CONS-0000033,RN-00078,Unit Clerk,DOC-0020,2024-07-28 01:11:02,2024-07-28 01:11:32,Vocera Badge Call,Answered Live
MSG-0000093,CONS-0000033,RN-00078,Unit Clerk,DOC-0020,2024-07-28 01:35:02,2024-07-28 01:42:57,Vocera Badge Call,Read & Acknowledged
MSG-0000094,CONS-0000033,RN-00078,Unit Clerk,DOC-0020,2024-07-28 01:55:02,2024-07-28 01:55:32,Vocera Badge Call,Read & Acknowledged
MSG-0000095,CONS-0000033,RN-00078,Unit Clerk,DOC-0020,2024-07-28 02:11:02,2024-07-28 02:37:29,Legacy Pager,Read - No Response
MSG-0000096,CONS-0000034,RN-00260,Registered Nurse,DOC-0052,2024-07-27 09:29:30,2024-07-27 09:32:49,Vocera Badge Call,Read - No Response
MSG-0000097,CONS-0000035,RN-00163,Registered Nurse,DOC-0004,2024-07-26 02:37:07,2024-07-26 02:51:21,Secure App Chat,Read & Acknowledged
MSG-0000098,CONS-0000036,RN-00106,Registered Nurse,DOC-0033,2025-11-04 23:44:25,2025-11-05 00:06:46,Phone Call to Office,Answered Live
MSG-0000099,CONS-0000037,RN-00026,Registered Nurse,DOC-0058,2025-11-05 02:11:54,2025-11-05 02:17:49,Vocera Badge Call,Read & Acknowledged
MSG-0000100,CONS-0000037,RN-00026,Registered Nurse,DOC-0058,2025-11-05 02:42:54,2025-11-05 02:48:27,Phone Call to Office,Read & Acknowledged
MSG-0000101,CONS-0000038,RN-00084,Unit Clerk,DOC-0075,2025-11-05 09:01:51,2025-11-05 09:42:44,Phone Call to Office,Answered Live
MSG-0000102,CONS-0000038,RN-00084,Unit Clerk,DOC-0075,2025-11-05 09:57:51,2025-11-05 10:01:15,Vocera Badge Call,Answered Live
MSG-0000103,CONS-0000038,RN-00084,Unit Clerk,DOC-0075,2025-11-05 10:12:51,2025-11-05 10:30:54,Secure App Chat,Read - No Response
MSG-0000104,CONS-0000038,RN-00084,Unit Clerk,DOC-0075,2025-11-05 11:00:51,2025-11-05 11:09:07,Secure App Chat,Read & Acknowledged
MSG-0000105,CONS-0000038,RN-00084,Unit Clerk,DOC-0075,2025-11-05 11:19:51,2025-11-05 11:23:26,Vocera Badge Call,Answered Live
MSG-0000106,CONS-0000038,RN-00084,Unit Clerk,DOC-0075,2025-11-05 11:59:51,2025-11-05 12:06:57,Vocera Badge Call,Answered Live
MSG-0000107,CONS-0000039,RN-00046,Registered Nurse,DOC-0043,2025-09-08 04:37:10,,Phone Call to Office,Unread
MSG-0000108,CONS-0000039,RN-00046,Registered Nurse,DOC-0043,2025-09-08 05:30:10,2025-09-08 05:39:00,Secure App Chat,Answered Live
MSG-0000109,CONS-0000039,RN-00046,Registered Nurse,DOC-0043,2025-09-08 06:20:10,2025-09-08 07:00:06,Phone Call to Office,Read - No Response
MSG-0000110,CONS-0000039,RN-00046,Registered Nurse,DOC-0043,2025-09-08 06:50:10,2025-09-08 07:14:00,Legacy Pager,Read & Acknowledged
MSG-0000111,CONS-0000040,RN-00144,Registered Nurse,DOC-0064,2025-09-09 06:21:09,2025-09-09 06:22:55,Vocera Badge Call,Answered Live
MSG-0000112,CONS-0000040,RN-00144,Registered Nurse,DOC-0064,2025-09-09 07:15:09,2025-09-09 07:16:48,Vocera Badge Call,Answered Live
MSG-0000113,CONS-0000041,RN-00244,Registered Nurse,DOC-0028,2025-09-09 01:10:20,2025-09-09 01:21:15,Secure App Chat,Answered Live
MSG-0000114,CONS-0000041,RN-00244,Registered Nurse,DOC-0028,2025-09-09 01:49:20,,Legacy Pager,Unread
MSG-0000115,CONS-0000042,RN-00034,Registered Nurse,DOC-0077,2025-09-09 21:54:54,2025-09-09 22:34:34,Legacy Pager,Answered Live
MSG-0000116,CONS-0000042,RN-00034,Registered Nurse,DOC-0077,2025-09-09 22:21:54,,Legacy Pager,Unread
MSG-0000117,CONS-0000042,RN-00034,Registered Nurse,DOC-0077,2025-09-09 23:17:54,2025-09-09 23:37:05,Secure App Chat,Read & Acknowledged
MSG-0000118,CONS-0000043,RN-00285,Registered Nurse,DOC-0041,2025-09-09 08:41:36,2025-09-09 08:46:04,Vocera Badge Call,Answered Live
MSG-0000119,CONS-0000043,RN-00285,Registered Nurse,DOC-0041,2025-09-09 09:31:36,2025-09-09 09:45:57,Secure App Chat,Read & Acknowledged
MSG-0000120,CONS-0000044,RN-00096,Registered Nurse,DOC-0044,2024-02-17 11:47:45,2024-02-17 12:14:33,Phone Call to Office,Left Voicemail
MSG-0000121,CONS-0000044,RN-00096,Registered Nurse,DOC-0044,2024-02-17 12:20:45,,Legacy Pager,Unread
MSG-0000122,CONS-0000044,RN-00096,Registered Nurse,DOC-0044,2024-02-17 12:38:45,2024-02-17 12:48:53,Secure App Chat,Read & Acknowledged
MSG-0000123,CONS-0000044,RN-00096,Registered Nurse,DOC-0044,2024-02-17 13:37:45,,Legacy Pager,Unread
MSG-0000124,CONS-0000044,RN-00096,Registered Nurse,DOC-0044,2024-02-17 14:34:45,,Legacy Pager,Unread
MSG-0000125,CONS-0000045,RN-00260,Registered Nurse,DOC-0004,2024-02-17 13:57:51,,Vocera Badge Call,Unread
MSG-0000126,CONS-0000045,RN-00260,Registered Nurse,DOC-0004,2024-02-17 14:35:51,2024-02-17 14:38:36,Vocera Badge Call,Answered Live
MSG-0000127,CONS-0000045,RN-00260,Registered Nurse,DOC-0004,2024-02-17 15:06:51,2024-02-17 15:08:52,Vocera Badge Call,Read - No Response
MSG-0000128,CONS-0000046,RN-00019,Registered Nurse,DOC-0094,2024-02-17 08:46:46,2024-02-17 08:53:20,Secure App Chat,Read - No Response
MSG-0000129,CONS-0000046,RN-00019,Registered Nurse,DOC-0094,2024-02-17 09:35:46,2024-02-17 10:22:07,Phone Call to Office,Read & Acknowledged
MSG-0000130,CONS-0000047,RN-00080,Registered Nurse,DOC-0020,2024-02-16 22:41:18,2024-02-16 22:58:30,Secure App Chat,Read & Acknowledged
MSG-0000131,CONS-0000047,RN-00080,Registered Nurse,DOC-0020,2024-02-16 23:18:18,2024-02-17 00:03:31,Phone Call to Office,Read - No Response
MSG-0000132,CONS-0000047,RN-00080,Registered Nurse,DOC-0020,2024-02-17 00:01:18,2024-02-17 00:14:13,Phone Call to Office,Answered Live
MSG-0000133,CONS-0000048,RN-00024,Unit Clerk,DOC-0016,2024-02-17 04:13:54,2024-02-17 04:26:57,Secure App Chat,Read & Acknowledged
MSG-0000134,CONS-0000048,RN-00024,Unit Clerk,DOC-0016,2024-02-17 04:30:54,2024-02-17 05:14:40,Phone Call to Office,Left Voicemail
MSG-0000135,CONS-0000048,RN-00024,Unit Clerk,DOC-0016,2024-02-17 05:08:54,2024-02-17 06:08:50,Legacy Pager,Read & Acknowledged
MSG-0000136,CONS-0000048,RN-00024,Unit Clerk,DOC-0016,2024-02-17 05:24:54,2024-02-17 06:04:40,Legacy Pager,Read - No Response
MSG-0000137,CONS-0000048,RN-00024,Unit Clerk,DOC-0016,2024-02-17 05:50:54,2024-02-17 05:59:15,Secure App Chat,Read & Acknowledged
MSG-0000138,CONS-0000048,RN-00024,Unit Clerk,DOC-0016,2024-02-17 06:37:54,2024-02-17 06:40:35,Vocera Badge Call,Answered Live
MSG-0000139,CONS-0000049,RN-00161,Registered Nurse,DOC-0082,2024-02-17 09:38:30,2024-02-17 09:43:30,Secure App Chat,Read - No Response
MSG-0000140,CONS-0000049,RN-00161,Registered Nurse,DOC-0082,2024-02-17 09:54:30,2024-02-17 10:03:02,Secure App Chat,Read & Acknowledged
MSG-0000141,CONS-0000049,RN-00161,Registered Nurse,DOC-0082,2024-02-17 10:42:30,2024-02-17 10:44:47,Vocera Badge Call,Read & Acknowledged
MSG-0000142,CONS-0000049,RN-00161,Registered Nurse,DOC-0082,2024-02-17 11:27:30,2024-02-17 11:32:50,Legacy Pager,Read - No Response
MSG-0000143,CONS-0000049,RN-00161,Registered Nurse,DOC-0082,2024-02-17 11:44:30,2024-02-17 11:50:21,Secure App Chat,Read - No Response
MSG-0000144,CONS-0000050,RN-00278,Unit Clerk,DOC-0075,2024-02-16 20:09:57,2024-02-16 20:12:41,Vocera Badge Call,Answered Live
MSG-0000145,CONS-0000050,RN-00278,Unit Clerk,DOC-0075,2024-02-16 20:55:57,2024-02-16 21:01:29,Vocera Badge Call,Answered Live
MSG-0000146,CONS-0000050,RN-00278,Unit Clerk,DOC-0075,2024-02-16 21:51:57,,Vocera Badge Call,Unread
MSG-0000147,CONS-0000051,RN-00255,Registered Nurse,DOC-0065,2025-05-28 09:35:30,2025-05-28 09:39:34,Secure App Chat,Read & Acknowledged
MSG-0000148,CONS-0000052,RN-00125,Registered Nurse,DOC-0022,2025-05-30 05:37:28,2025-05-30 05:47:47,Secure App Chat,Read & Acknowledged
MSG-0000149,CONS-0000053,RN-00019,Registered Nurse,DOC-0026,2025-05-28 01:48:39,2025-05-28 01:50:13,Secure App Chat,Read & Acknowledged
MSG-0000150,CONS-0000054,RN-00171,Registered Nurse,DOC-0037,2024-03-11 14:42:37,,Legacy Pager,Unread
MSG-0000151,CONS-0000055,RN-00289,Unit Clerk,DOC-0053,2024-03-12 06:55:43,2024-03-12 07:02:02,Vocera Badge Call,Read & Acknowledged
MSG-0000152,CONS-0000056,RN-00151,Registered Nurse,DOC-0099,2024-03-11 07:11:29,2024-03-11 07:22:17,Secure App Chat,Read & Acknowledged
MSG-0000153,CONS-0000056,RN-00151,Registered Nurse,DOC-0099,2024-03-11 07:36:29,2024-03-11 08:18:58,Legacy Pager,Answered Live
MSG-0000154,CONS-0000056,RN-00151,Registered Nurse,DOC-0099,2024-03-11 08:00:29,2024-03-11 08:02:28,Vocera Badge Call,Answered Live
MSG-0000155,CONS-0000056,RN-00151,Registered Nurse,DOC-0099,2024-03-11 09:00:29,2024-03-11 10:13:49,Legacy Pager,Read & Acknowledged
MSG-0000156,CONS-0000056,RN-00151,Registered Nurse,DOC-0099,2024-03-11 09:54:29,,Legacy Pager,Unread
MSG-0000157,CONS-0000057,RN-00122,Registered Nurse,DOC-0076,2024-09-04 14:50:50,2024-09-04 15:16:11,Legacy Pager,Read & Acknowledged
MSG-0000158,CONS-0000057,RN-00122,Registered Nurse,DOC-0076,2024-09-04 15:49:50,,Legacy Pager,Unread
MSG-0000159,CONS-0000057,RN-00122,Registered Nurse,DOC-0076,2024-09-04 16:12:50,,Vocera Badge Call,Unread
MSG-0000160,CONS-0000057,RN-00122,Registered Nurse,DOC-0076,2024-09-04 17:04:50,2024-09-04 17:11:46,Secure App Chat,Answered Live
MSG-0000161,CONS-0000057,RN-00122,Registered Nurse,DOC-0076,2024-09-04 17:20:50,2024-09-04 17:47:27,Legacy Pager,Read - No Response
MSG-0000162,CONS-0000057,RN-00122,Registered Nurse,DOC-0076,2024-09-04 17:39:50,2024-09-04 18:19:10,Phone Call to Office,Left Voicemail
MSG-0000163,CONS-0000057,RN-00122,Registered Nurse,DOC-0076,2024-09-04 18:30:50,2024-09-04 19:14:00,Phone Call to Office,Left Voicemail
MSG-0000164,CONS-0000058,RN-00181,Registered Nurse,DOC-0087,2024-09-05 04:05:24,2024-09-05 04:06:03,Secure App Chat,Read & Acknowledged
MSG-0000165,CONS-0000058,RN-00181,Registered Nurse,DOC-0087,2024-09-05 04:38:24,,Legacy Pager,Unread
MSG-0000166,CONS-0000058,RN-00181,Registered Nurse,DOC-0087,2024-09-05 05:38:24,2024-09-05 05:39:12,Secure App Chat,Read & Acknowledged
MSG-0000167,CONS-0000058,RN-00181,Registered Nurse,DOC-0087,2024-09-05 06:13:24,2024-09-05 06:13:54,Secure App Chat,Read & Acknowledged
MSG-0000168,CONS-0000059,RN-00228,Registered Nurse,DOC-0084,2024-03-28 15:52:37,2024-03-28 16:01:40,Secure App Chat,Answered Live
MSG-0000169,CONS-0000060,RN-00209,Registered Nurse,DOC-0003,2024-03-26 11:03:12,2024-03-26 11:10:20,Secure App Chat,Read - No Response
MSG-0000170,CONS-0000060,RN-00209,Registered Nurse,DOC-0003,2024-03-26 12:00:12,2024-03-26 12:01:21,Vocera Badge Call,Answered Live
MSG-0000171,CONS-0000060,RN-00209,Registered Nurse,DOC-0003,2024-03-26 12:50:12,2024-03-26 12:52:29,Legacy Pager,Read & Acknowledged
MSG-0000172,CONS-0000060,RN-00209,Registered Nurse,DOC-0003,2024-03-26 13:45:12,2024-03-26 13:45:42,Secure App Chat,Read - No Response
MSG-0000173,CONS-0000061,RN-00071,Unit Clerk,DOC-0035,2024-03-31 00:06:54,2024-03-31 00:08:22,Vocera Badge Call,Answered Live
MSG-0000174,CONS-0000061,RN-00071,Unit Clerk,DOC-0035,2024-03-31 00:27:54,2024-03-31 01:22:23,Phone Call to Office,Left Voicemail
MSG-0000175,CONS-0000061,RN-00071,Unit Clerk,DOC-0035,2024-03-31 01:03:54,2024-03-31 01:36:08,Phone Call to Office,Read & Acknowledged
MSG-0000176,CONS-0000062,RN-00129,Registered Nurse,DOC-0041,2024-03-30 12:16:00,2024-03-30 12:50:04,Legacy Pager,Read - No Response
MSG-0000177,CONS-0000062,RN-00129,Registered Nurse,DOC-0041,2024-03-30 13:15:00,2024-03-30 13:25:33,Secure App Chat,Read - No Response
MSG-0000178,CONS-0000063,RN-00265,Registered Nurse,DOC-0033,2024-03-30 06:39:15,2024-03-30 07:22:50,Legacy Pager,Read - No Response
